,Date,Open,High,Low,Close,Adj Close,Volume
978,2003-11-24,1.464286,1.519286,1.4607139999999998,1.510714,1.314474,95456200
979,2003-11-25,1.516429,1.517857,1.472143,1.477143,1.285264,67163600
980,2003-11-26,1.492143,1.510714,1.4464290000000002,1.48,1.287749,61282200
981,2003-11-28,1.484286,1.505,1.465714,1.493571,1.299558,19024600
982,2003-12-01,1.502857,1.560714,1.5,1.550714,1.349278,90384000
983,2003-12-02,1.542857,1.564286,1.529286,1.538571,1.3387129999999998,51324000
984,2003-12-03,1.538571,1.56,1.497143,1.502143,1.307016,47824000
985,2003-12-04,1.495714,1.512143,1.483571,1.510714,1.314474,44485000
986,2003-12-05,1.492857,1.510714,1.480714,1.489286,1.295829,46544400
987,2003-12-08,1.484286,1.505714,1.457857,1.503571,1.308259,37059400
988,2003-12-09,1.512143,1.517857,1.457143,1.4607139999999998,1.270969,33786200
989,2003-12-10,1.4607139999999998,1.472143,1.425714,1.455714,1.266618,67834200
990,2003-12-11,1.4464290000000002,1.524286,1.443571,1.515,1.318203,45784200
991,2003-12-12,1.522857,1.522857,1.478571,1.492143,1.298315,48168400
992,2003-12-15,1.535,1.535,1.433571,1.440714,1.253567,97227200
993,2003-12-16,1.442143,1.463571,1.429286,1.437143,1.250459,93489200
994,2003-12-17,1.434286,1.437857,1.413571,1.42,1.235543,68565000
995,2003-12-18,1.421429,1.441429,1.421429,1.431429,1.245487,82728800
996,2003-12-19,1.442143,1.4585709999999998,1.401429,1.407143,1.224356,113390200
997,2003-12-22,1.403571,1.420714,1.375,1.417857,1.2336790000000002,94266200
998,2003-12-23,1.422857,1.425,1.4,1.415,1.231193,77124600
999,2003-12-24,1.408571,1.470714,1.403571,1.457857,1.268483,44368800
1000,2003-12-26,1.453571,1.493571,1.452857,1.484286,1.291478,25923800
1001,2003-12-29,1.493571,1.511429,1.49,1.510714,1.314474,58364600
1002,2003-12-30,1.512857,1.535714,1.510714,1.52,1.322554,51213400
1003,2003-12-31,1.525,1.537857,1.512857,1.526429,1.328147,43612800
1004,2004-01-02,1.5392860000000002,1.5535709999999998,1.512857,1.52,1.322554,36160600
1005,2004-01-05,1.53,1.599286,1.53,1.5835709999999998,1.377867,98754600
1006,2004-01-06,1.589286,1.601429,1.550714,1.577857,1.372895,127337000
1007,2004-01-07,1.578571,1.630714,1.566429,1.613571,1.4039700000000002,146718600
1008,2004-01-08,1.631429,1.695,1.617857,1.6685709999999998,1.451825,115075800
1009,2004-01-09,1.659286,1.723571,1.627857,1.642857,1.429451,106864800
1010,2004-01-12,1.660714,1.714286,1.65,1.695,1.474821,121886800
1011,2004-01-13,1.764286,1.774286,1.704286,1.722857,1.499059,169754200
1012,2004-01-14,1.742857,1.752857,1.6985709999999998,1.728571,1.504032,155010800
1013,2004-01-15,1.636429,1.671429,1.607143,1.632143,1.42013,254552200
1014,2004-01-16,1.635,1.645714,1.615,1.622857,1.41205,93205000
1015,2004-01-20,1.619286,1.628571,1.589286,1.623571,1.412671,78986600
1016,2004-01-21,1.621429,1.640714,1.602143,1.615,1.4052129999999998,56665000
1017,2004-01-22,1.611429,1.630714,1.584286,1.584286,1.378489,51251200
1018,2004-01-23,1.601429,1.624286,1.589286,1.611429,1.402106,56792400
1019,2004-01-26,1.604286,1.647143,1.602143,1.643571,1.430073,67817400
1020,2004-01-27,1.645714,1.660714,1.628571,1.647857,1.433802,76767600
1021,2004-01-28,1.631429,1.67,1.600714,1.608571,1.39962,68850600
1022,2004-01-29,1.616429,1.628571,1.585,1.62,1.409564,53174800
1023,2004-01-30,1.617857,1.633571,1.601429,1.611429,1.402106,46324600
1024,2004-02-02,1.604286,1.629286,1.577143,1.594286,1.38719,71857800
1025,2004-02-03,1.592857,1.6,1.5714290000000002,1.59,1.38346,45203200
1026,2004-02-04,1.5714290000000002,1.577857,1.55,1.556429,1.35425,76388200
